annexe,liste,section_code,section,sous_section_code,sous_section,designation,dosage,voie,forme,niveau,categorisation,usage_pediatrique,page_pdf
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Acétylsalicylate de lysine,500/5 ml,Parentérale,Poudre pour préparation injectable,ABCD,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Acide acétylsalicylique,100 mg,Orale,Comprimé,ABCDE,,True,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Métamizole,"0,5 g/ml",Parentérale,Solution injectable,ABCD,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Métamizole,500 mg,Orale,Comprimé,ABCD,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,125 mg/5 ml,Orale,Sirop,ABCDE,,True,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,150 mg,Rectale,Suppositoire,ABCDE,,True,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,500 mg/100 ml,Parentérale,Solution injectable,ABCD,,True,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,250 mg,Orale,Poudre en sachet,ABCDE,,True,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,80 mg,Orale,Poudre en sachet,ABCDE,,True,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,1000 mg/100 ml,Parentérale,Solution injectable,ABCD,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,300 mg,Rectale,Suppositoire,ABCDE,,True,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,80 mg,Rectale,Suppositoire,ABCDE,,True,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,1000 mg,Orale,Comprimé,ABCDE,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,200 mg,Rectale,Suppositoire,ABCDE,,True,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.01,ANALGESIQUES ANTIPYRETIQUES,Paracétamol,500 mg,Orale,Comprimé,ABCDE,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.02,ANALGÉSIQUES NARCOTIQUES,Fentanyl,"0,5 mg/10 ml",Parentérale,Solution injectable,AB,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.02,ANALGÉSIQUES NARCOTIQUES,Fentanyl,"0,1 mg/2ml",Parentérale,Solution injectable,AB,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.02,ANALGÉSIQUES NARCOTIQUES,Morphine chlorhydrate,10 mg/ml,Parentérale,Solution injectable,AB,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.02,ANALGÉSIQUES NARCOTIQUES,Morphine sulfate,10 mg LP,Orale,Comprimé,AB,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.02,ANALGÉSIQUES NARCOTIQUES,Morphine sulfate ou chlorhydrate,----,Orale,Poudre,AB,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.02,ANALGÉSIQUES NARCOTIQUES,Péthidine,100 mg/2 ml,Parentérale,Solution injectable,AB,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.03,ANALGÉSIQUES OPIOIDES FAIBLES,Paracétamol + Codéine,400 mg + 20 mg,Orale,Comprimé,ABCD,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.03,ANALGÉSIQUES OPIOIDES FAIBLES,Paracétamol + Caféine,500 mg + 50 mg,Orale,Comprimé,ABCD,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.03,ANALGÉSIQUES OPIOIDES FAIBLES,Tramadol,100 mg/2ml,Parentérale,Solution injectable,ABC,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.03,ANALGÉSIQUES OPIOIDES FAIBLES,Tramadol,50 mg,Orale,Comprimé,ABC,,False,9
Annexe 1 — Medicaments Essentiels,Liste Principale,01,ANALGÉSIQUES,01.03,ANALGÉSIQUES OPIOIDES FAIBLES,Tramadol,100 mg,Orale,Comprimé LP,ABC,,False,9
