code_prix,panier,rang_source,libelle_source,nom_commercial_presume,dosage_presume,forme_normalisee,conditionnement_source,conditionnement_qte,conditionnement_unite,prix_homologue,devise,dci_code,medicament_id,source_code,reference_reglementaire,date_effet,date_fin,date_extraction,statut_validation,niveau_confiance,libelle_incomplet
PRIX-CMU-HTA-001,HTA,1,"AMEP 5 MG COMPRIME, BOÎTE DE 28",AMEP,5 MG,comprime,BOITE DE 28,28,unite,4655.70,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-002,HTA,2,AMLODIPINE VIR 5 MG COMPRIME BOÎTE DE 30,AMLODIPINE VIR,5 MG,comprime,BOITE DE 30,30,unite,3441.90,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-003,HTA,3,LOPINE 5 MG COMPRIME BOÎTE DE 30,LOPINE,5 MG,comprime,BOITE DE 30,30,unite,3780.00,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-004,HTA,4,"AMLO-DENK 5 MG COMPRIME, BOÎTE DE 50",AMLO-DENK,5 MG,comprime,BOITE DE 50,50,unite,4821.28,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-005,HTA,5,"AMLODIPINE VIR 10 MG COMPRIME, BOÎTE DE 30",AMLODIPINE VIR,10 MG,comprime,BOITE DE 30,30,unite,4130.70,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-006,HTA,6,"AMLODIS 10 MG COMPRIME, BOÎTE DE 30",AMLODIS,10 MG,comprime,BOITE DE 30,30,unite,4410.00,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-007,HTA,7,"AMLOTROY 10 MG COMPRIME, BOÎTE DE 30",AMLOTROY,10 MG,comprime,BOITE DE 30,30,unite,3360.00,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-008,HTA,8,LOPINE 10 MG COMPRIME BOÎTE DE 30,LOPINE,10 MG,comprime,BOITE DE 30,30,unite,4200.00,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-009,HTA,9,"AMLO-DENK 10 MG COMPRIME, BOÎTE DE 50",AMLO-DENK,10 MG,comprime,BOITE DE 50,50,unite,8127.31,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-010,HTA,10,"TENSICARD AM 50MG/5 MG COMPRIME, BOÎTE DE 30",TENSICARD AM,50MG/5 MG,comprime,BOITE DE 30,30,unite,7350.00,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-011,HTA,11,"AMLONEX-AT 5 MG/50 MG COMPRIME, BOÎTE DE 100",AMLONEX-AT,5 MG/50 MG,comprime,BOITE DE 100,100,unite,6930.00,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-012,HTA,12,"SARTEX HCT 5 MG/160 MG/12,5 MG COMPRIME PELLICULE, BOÎTE DE 30",SARTEX HCT,"5 MG/160 MG/12,5 MG",comprime_pellicule,BOITE DE 30,30,unite,11976.05,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-013,HTA,13,"SARTEX HCT 5 MG/160 MG/25 MG COMPRIME PELLICULE, BOÎTE DE 30",SARTEX HCT,5 MG/160 MG/25 MG,comprime_pellicule,BOITE DE 30,30,unite,12197.85,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-014,HTA,14,"SARTEX HCT 10 MG/160 MG/12,5 MG COMPRIME PELIICULE, BOÎTE DE 30",SARTEX HCT,"10 MG/160 MG/12,5 MG",comprime,BOITE DE 30,30,unite,13775.10,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-015,HTA,15,"CARDIOVALAM H 10 MG/25 MG/160 MG COMPRIME, BOÎTE DE 30",CARDIOVALAM H,10 MG/25 MG/160 MG,comprime,BOITE DE 30,30,unite,13776.00,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-016,HTA,16,"SARTEX HCT 10 MG/160 MG/25 MG COMPRIME PELLICULE, BOÎTE DE 30",SARTEX HCT,10 MG/160 MG/25 MG,comprime_pellicule,BOITE DE 30,30,unite,13981.72,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-017,HTA,17,"NATRIXAM 1,5 MG/10 MG COMPRIME PELLICULE A LIBERATION MODIFIEE, BOÎTE DE 30",NATRIXAM,"1,5 MG/10 MG",comprime_pellicule_lm,BOITE DE 30,30,unite,7342.13,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-018,HTA,18,"AMLOPAMIDE 5 MG/1,5 MG COMPRIME, BOÎTE DE 30",AMLOPAMIDE,"5 MG/1,5 MG",comprime,BOITE DE 30,30,unite,5510.02,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
PRIX-CMU-HTA-019,HTA,19,"NATRIXAM 1,5 MG/5 MG COMPRIME PELLICULE A LIBERATION MODIFIEE, BOÎTE DE 30",NATRIXAM,"1,5 MG/5 MG",comprime_pellicule_lm,BOITE DE 30,30,unite,6501.85,XOF,,,CNAM_CMU,Décision n°0016/AIRP/DG du 29 septembre 2025,2025-09-29,,2026-08-22,source_externe_non_validee,3,false
